PERIODO,DEPARTAMENTO,Municipio,CODIGO PLANTEL EDUCATIVO,GRADO,TOTAL INSCRITOS,TOTAL EVALUADOS,CLASIFICACION,INDICE TOTAL,APROBACIÓN,POBLACIÓN DANE,No. ACCESOS FIJOS A INTERNET,REPITENCIA,DESERCIÓN,COBERTURA_NETA,REPROBACIÓN
2021,cundinamarca,villapinzón,225873000149,11.0,24.0,23.0,C,0.66,95.98,17908,593,6.21,2.5,95.19,1.51
2021,cundinamarca,villapinzón,125873000209,11.0,501.0,486.0,B,0.68,95.98,17908,593,6.21,2.5,95.19,1.51
2021,cundinamarca,villeta,125875000265,11.0,204.0,201.0,B,0.71,95.84,28051,3591,2.98,3.08,99.37,1.09
2021,antioquia,nariño,205483000236,11.0,28.0,26.0,C,0.63,92.8,5749,199,3.03,3.05,71.69,3.92
2021,antioquia,nariño,205483000473,11.0,5.0,5.0,SC,0.59,92.8,5749,199,3.03,3.05,71.69,3.92
2021,antioquia,san francisco,205652001310,11.0,56.0,56.0,D,0.55,92.22,7599,489,2.66,3.98,79.59,3.81
2021,antioquia,venecia,205861000398,11.0,25.0,25.0,C,0.63,93.14,8101,729,4.23,4.57,102.3,2.29
2021,antioquia,venecia,205861000134,11.0,4.0,4.0,SC,0.6,93.14,8101,729,4.23,4.57,102.3,2.29
2021,cundinamarca,carmen de carupa,225154000064,11.0,7.0,7.0,SC,0.63,95.78,7882,218,3.07,1.59,78.32,2.63
2021,cundinamarca,choachí,225181000149,11.0,81.0,81.0,B,0.69,96.65,11408,498,2.7,1.64,98.3,1.7
2021,cundinamarca,choachí,225181000076,11.0,38.0,37.0,B,0.68,96.65,11408,498,2.7,1.64,98.3,1.7
2021,cundinamarca,cucunubá,225224000024,11.0,43.0,43.0,C,0.66,95.72,7945,222,3.11,2.76,83.25,1.52
2021,cundinamarca,cucunubá,225224000113,11.0,65.0,63.0,C,0.65,95.72,7945,222,3.11,2.76,83.25,1.52
2021,cundinamarca,facatativá,225269000211,11.0,86.0,83.0,B,0.7,89.9,146026,21090,2.88,3.59,88.01,6.52
2021,cundinamarca,facatativá,225269000157,11.0,48.0,48.0,B,0.67,89.9,146026,21090,2.88,3.59,88.01,6.52
2021,cundinamarca,guasca,225322000105,11.0,95.0,95.0,B,0.7,94.27,16038,935,3.37,2.94,94.35,2.79
2021,cundinamarca,guasca,225322000024,11.0,124.0,123.0,B,0.69,94.27,16038,935,3.37,2.94,94.35,2.79
2021,cundinamarca,junín,225372000611,11.0,7.0,7.0,SC,0.6,97.68,6047,90,2.85,1.34,72.35,0.98
2021,cundinamarca,junín,225372000777,11.0,21.0,19.0,D,0.57,97.68,6047,90,2.85,1.34,72.35,0.98
2021,cundinamarca,la peña,225398000147,11.0,54.0,52.0,D,0.61,96.37,6136,52,1.86,1.33,78.0,2.3
2021,cundinamarca,la peña,225398000074,11.0,19.0,16.0,D,0.6,96.37,6136,52,1.86,1.33,78.0,2.3
2021,cundinamarca,soacha,225754000661,11.0,111.0,109.0,B,0.68,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,225754000653,11.0,26.0,24.0,D,0.6,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,tausa,225793000091,11.0,38.0,37.0,C,0.64,97.11,8398,170,2.29,2.18,91.44,0.71
2021,cundinamarca,tausa,225793000059,11.0,57.0,55.0,C,0.65,97.11,8398,170,2.29,2.18,91.44,0.71
2021,cundinamarca,tocaima,225815000392,11.0,57.0,57.0,D,0.61,88.97,16388,852,4.14,5.3,74.95,5.73
2021,cundinamarca,tocaima,225815000333,11.0,25.0,23.0,C,0.65,88.97,16388,852,4.14,5.3,74.95,5.73
